Client,Project,Qnt_TC_Release,Qnt_TC_SW,Qnt_Bugs,Qnt_Bugs_Client
1,1,755,1375,14,4
1,1,1399,1375,52,9
1,1,620,1375,23,3
1,1,285,1375,9,6
1,1,104,1375,2,70
1,3,372,372,34,0
1,2,301,547,23,6
1,2,153,547,8,13
1,2,282,547,47,7
1,2,290,547,42,5
1,2,242,547,28,13
1,2,227,547,23,5
1,2,547,547,8,2
1,4,61,298,8,1
1,4,180,298,6,6
1,4,181,298,39,2
1,4,209,298,19,10
1,4,195,298,11,8
2,5,468,756,6,3
2,5,474,756,8,1
2,5,10,756,0,0
2,5,136,756,1,0
2,5,64,756,1,4
2,5,72,756,2,4
2,5,7,756,0,1
2,5,65,756,3,3
2,5,302,756,11,1
2,5,40,756,1,1
2,5,464,756,10,3
2,5,128,756,1,0
2,5,602,756,10,1
2,5,658,756,7,0
2,8,105,110,0,1
2,8,109,110,2,2
2,8,79,110,2,0
2,8,23,110,1,2
2,8,110,110,10,1
2,6,220,555,40,5
2,6,504,555,35,0
2,6,574,555,16,0
2,6,219,555,2,4
2,6,471,555,15,2
2,7,77,243,3,1
2,7,60,243,0,0
2,7,72,243,3,1
2,7,74,243,4,0
2,7,3,243,0,0
2,7,243,243,9,0
